image,target_lang,batch_size,processing_time,extracted_text,translated_text,text_ratio
test_images\sample1.jpg,fr,1,16.04,Dear Santa I have been very Jood this year And have been thinking of what I woUld like for Christmas. ( leg? 2 . bicycle 2. Puppy I Am very excited for Your visit And will leave out Some Snacks for You and your reindeer_ love.,"Cher Père Noël, j'ai été très Jood cette année et j'ai pensé à ce que j'aime pour Noël. ( jambe? 2 . vélo 2. Puppy Je suis très excité pour votre visite Et je vais laisser quelques collations pour vous et votre amour de renne.",1.0
test_images\sample2.png,fr,1,3.41,"It was the best of times, it was the worst of times, it was the age of wisdom; 9 it was the age of foolishness_.","C'était le meilleur des temps, c'était le pire des temps, c'était l'âge de la sagesse; 9 c'était l'âge de la folie.",0.9739
test_images\sample1.jpg,fr,2,13.53,Dear Santa I have been very Jood this year And have been thinking of what I woUld like for Christmas. ( leg? 2 . bicycle 2. Puppy I Am very excited for Your visit And will leave out Some Snacks for You and your reindeer_ love.,"Cher Père Noël, j'ai été très Jood cette année et j'ai pensé à ce que j'aime pour Noël. ( jambe? 2 . vélo 2. Puppy Je suis très excité pour votre visite Et je vais laisser quelques collations pour vous et votre amour de renne.",1.0
test_images\sample2.png,fr,2,3.4,"It was the best of times, it was the worst of times, it was the age of wisdom; 9 it was the age of foolishness_.","C'était le meilleur des temps, c'était le pire des temps, c'était l'âge de la sagesse; 9 c'était l'âge de la folie.",0.9739
test_images\sample1.jpg,es,1,15.09,Dear Santa I have been very Jood this year And have been thinking of what I woUld like for Christmas. ( leg? 2 . bicycle 2. Puppy I Am very excited for Your visit And will leave out Some Snacks for You and your reindeer_ love.,Querida Santa He estado muy alegre este año y he estado pensando en lo que me gustaría para la Navidad. (pierna? 2 . bicicleta 2. Cachorrito Estoy muy emocionado por su visita y voy a dejar fuera algunos bocadillos para usted y su reno_ amor.,0.9339
test_images\sample2.png,es,1,3.26,"It was the best of times, it was the worst of times, it was the age of wisdom; 9 it was the age of foolishness_.","Era el mejor de los tiempos, era el peor de los tiempos, era la edad de la sabiduría; 9 era la edad de la necedad_.",0.9739
test_images\sample1.jpg,es,2,12.79,Dear Santa I have been very Jood this year And have been thinking of what I woUld like for Christmas. ( leg? 2 . bicycle 2. Puppy I Am very excited for Your visit And will leave out Some Snacks for You and your reindeer_ love.,Querida Santa He estado muy alegre este año y he estado pensando en lo que me gustaría para la Navidad. (pierna? 2 . bicicleta 2. Cachorrito Estoy muy emocionado por su visita y voy a dejar fuera algunos bocadillos para usted y su reno_ amor.,0.9339
test_images\sample2.png,es,2,3.38,"It was the best of times, it was the worst of times, it was the age of wisdom; 9 it was the age of foolishness_.","Era el mejor de los tiempos, era el peor de los tiempos, era la edad de la sabiduría; 9 era la edad de la necedad_.",0.9739
test_images\sample1.jpg,de,1,15.66,Dear Santa I have been very Jood this year And have been thinking of what I woUld like for Christmas. ( leg? 2 . bicycle 2. Puppy I Am very excited for Your visit And will leave out Some Snacks for You and your reindeer_ love.,"Lieber Weihnachtsmann Ich war sehr Jood in diesem Jahr Und habe darüber nachgedacht, was ich für Weihnachten mag. ( Bein? 2 . Fahrrad 2. Welpen Ich bin sehr aufgeregt für Ihren Besuch und wird einige Snacks für Sie und Ihre Rentiere_Liebe auslassen.",0.9076
test_images\sample2.png,de,1,3.4,"It was the best of times, it was the worst of times, it was the age of wisdom; 9 it was the age of foolishness_.","Es war das Beste der Zeiten, es war das Schlimmste der Zeiten, es war das Alter der Weisheit; 9 es war das Alter der Torheit_.",0.8889
test_images\sample1.jpg,de,2,13.05,Dear Santa I have been very Jood this year And have been thinking of what I woUld like for Christmas. ( leg? 2 . bicycle 2. Puppy I Am very excited for Your visit And will leave out Some Snacks for You and your reindeer_ love.,"Lieber Weihnachtsmann Ich war sehr Jood in diesem Jahr Und habe darüber nachgedacht, was ich für Weihnachten mag. ( Bein? 2 . Fahrrad 2. Welpen Ich bin sehr aufgeregt für Ihren Besuch und wird einige Snacks für Sie und Ihre Rentiere_Liebe auslassen.",0.9076
test_images\sample2.png,de,2,3.77,"It was the best of times, it was the worst of times, it was the age of wisdom; 9 it was the age of foolishness_.","Es war das Beste der Zeiten, es war das Schlimmste der Zeiten, es war das Alter der Weisheit; 9 es war das Alter der Torheit_.",0.8889
